#{"t_start": 1786073861.771441, "env_id": "None"}
r,l,t
-3.8,144,679.754653
-2.8,144,680.524325
-3.2,144,681.529399
-1.8,144,682.352376
-3.4,144,683.234338
-3.0,144,683.956597
-4.4,144,684.680436
-3.2,144,685.425374
-2.2,144,686.138377
-3.0,144,686.967177
-3.0,144,687.956538
-3.8,144,688.811383
-3.4,144,689.562596
-3.6,144,690.560869
-2.6,144,691.800746
-3.6,144,692.49416
-4.0,144,693.338817
-3.2,144,694.777967
-2.2,144,695.837159
-2.8,144,696.648198
-3.2,144,697.710183
-4.2,144,698.648806
-2.4,144,699.501086
-3.0,144,700.483403
-2.2,144,701.358995
-3.6,144,702.38179
-3.4,144,703.25174
-3.4,144,704.127121
-3.8,144,705.071289
-4.6,144,706.159704
-3.0,144,706.98605
-1.8,144,707.943282
-2.6,144,708.970778
-3.4,144,709.712688
-2.0,144,710.811002
-2.8,144,711.731522
-2.0,144,712.861264
-2.8,144,713.617877
-3.0,144,714.804725
-3.0,144,715.859863
-2.8,144,716.812365
-4.0,144,717.689584
-2.4,144,718.853232
-2.6,144,719.68909
-2.8,144,720.609339
-3.0,144,721.473662
-2.6,144,722.33809
-3.0,144,723.189438
-2.8,144,724.194824
-2.0,144,725.24279
-1.6,144,726.143161
-3.0,144,727.020454
-2.8,144,727.827868
-3.0,144,729.10269
-2.6,144,729.858994
-3.6,144,730.526332
-2.4,144,731.46396
-3.4,144,732.29908
-2.8,144,733.22631
-3.4,144,733.906371
-2.6,144,735.294179
-3.2,144,736.203158
-2.2,144,737.702843
-3.4,144,739.21561
-3.4,144,740.076018
-3.4,144,740.8003
-1.4,144,742.115855
-2.2,144,742.96455
-2.8,144,743.742696
-2.6,144,744.57321
-2.4,144,745.405935
-3.6,144,746.150979
-2.8,144,746.979332
-4.0,144,748.277939
-2.2,144,749.436998
-2.6,144,750.492499
-3.8,144,751.238076
-2.8,144,752.114333
-2.0,144,752.947383
-2.8,144,753.840665
-4.2,144,754.533796
-3.4,144,755.562197
-1.4,144,756.389841
-2.2,144,757.215523
-3.2,144,758.248813
-3.6,144,759.615019
-3.2,144,761.575259
-2.2,144,762.236048
-2.0,144,763.106693
-2.8,144,763.891707
-2.4,144,764.58702
