#{"t_start": 1786737065.7150793, "env_id": "None"}
r,l,t,cleared_count
2403.351396,720,4421.711198,1493
1860.504482,720,4440.914218,1183
2031.137273,720,4458.649123,1288
2435.582109,720,4474.821376,1499
2033.675191,720,4490.479109,1287
1815.118702,720,4506.92376,973
1830.716653,720,4522.76839,973
2544.9914,720,4542.535418,1998
2178.251832,720,4557.695358,1191
1970.928074,720,4573.804278,1286
2406.230666,720,4592.711201,1862
1244.211997,720,4607.915517,781
3471.444433,720,4626.673579,1992
1277.623212,720,4642.597573,885
2772.466229,720,4661.392578,2079
3124.182361,720,4681.326376,2065
3293.926083,720,4704.383339,2455
3359.548187,720,4723.352639,2307
2706.943472,720,4741.720081,1679
2404.985527,720,4759.453965,1488
2469.943638,720,4777.171656,1496
1421.528058,720,4794.236001,822
1219.896227,720,4810.983653,671
1718.524882,720,4827.848204,1290
1953.074236,720,4844.127262,1286
1479.068064,720,4861.107821,823
2941.184304,720,4878.700347,1699
1224.766205,720,4894.583211,782
1193.403082,720,4912.158041,784
2014.23305,720,4929.135329,1290
1239.537701,720,4947.019897,782
2875.261008,720,4967.072162,1686
2485.688798,720,4984.664574,1468
2311.312062,720,5000.145643,1494
2447.349139,720,5020.775222,1942
2002.361073,720,5038.126272,1288
1195.831533,720,5054.618181,665
2019.50898,720,5072.634145,1508
2416.884694,720,5091.143602,1491
2408.802857,720,5109.742275,1471
3062.068877,720,5128.849565,1788
1205.269611,720,5144.639879,783
1247.593474,720,5160.605429,885
1236.021042,720,5176.615018,671
1242.596947,720,5192.201004,671
2181.650749,720,5209.464352,1518
1491.822839,720,5226.470975,821
1258.478469,720,5243.450842,883
2541.661975,720,5261.712398,1488
2487.302054,720,5281.019606,1470
1223.562342,720,5295.742855,785
2440.398704,720,5315.555346,1496
1976.241468,720,5331.980096,1515
2500.063283,720,5348.188534,1472
2308.086149,720,5364.637102,1523
2723.945927,720,5383.253834,1642
3382.13089,720,5404.820053,2447
2518.357269,720,5425.182667,1947
2482.687972,720,5441.259354,1494
3073.830483,720,5458.368139,1851
3063.750057,720,5477.618031,1842
2152.734433,720,5494.652804,1193
2476.142715,720,5511.133833,1497
1840.469844,720,5527.209604,973
2854.407989,720,5545.567783,1857
2470.18857,720,5562.265023,1496
2237.559418,720,5579.990081,1518
2373.25013,720,5599.885433,1949
2059.997932,720,5617.030351,1291
2793.349449,720,5635.136609,1709
1178.334877,720,5652.252303,883
2531.004435,720,5672.063153,1672
2149.932837,720,5689.434751,1193
3036.970264,720,5708.099901,2019
1242.651645,720,5725.023498,671
2740.298851,720,5745.163383,2070
2465.673005,720,5761.78439,1501
1828.100236,720,5776.356373,973
2398.829945,720,5794.057922,1495
1859.30481,720,5810.032165,1288
2727.300752,720,5827.831644,1643
2860.010882,720,5846.980685,2027
2195.764034,720,5863.882305,1495
1224.00444,720,5882.314892,784
2665.575368,720,5901.4438,1673
2036.134226,720,5917.334282,1289
2630.658731,720,5934.890609,1693
2963.034341,720,5959.079618,2061
2612.971354,720,5977.619473,1651
2369.636509,720,5995.117914,1489
2229.106199,720,6010.904426,1518
2570.610635,720,6029.631415,1691
2925.728481,720,6048.403787,2021
1922.617186,720,6068.856325,1293
3353.945617,720,6088.895475,1985
2602.48755,720,6109.095122,2023
1945.567125,720,6125.85027,1292
2218.648663,720,6144.397433,1509
2134.920166,720,6161.847502,1517
2246.891371,720,6181.759683,1996
3121.002211,720,6198.735806,1844
1280.995602,720,6216.08009,885
1824.784906,720,6230.588404,973
1974.752061,720,6247.950142,1289
3091.137523,720,6267.61205,2037
2384.00815,720,6286.295944,1468
1835.810507,720,6304.093193,1183
2369.675003,720,6320.646078,1495
2277.391475,720,6338.696235,1519
1844.523213,720,6356.145648,1174
2840.580182,720,6374.550941,1708
1887.095899,720,6391.396837,1288
2407.072676,720,6408.646755,1470
2775.342952,720,6426.857082,1652
2486.124265,720,6441.355359,1492
1292.61218,720,6458.983991,886
1204.497893,720,6475.107652,783
2055.033513,720,6491.949962,1193
3232.149122,720,6510.861987,2295
2405.030281,720,6529.773211,1484
2168.779158,720,6545.363447,1190
2204.212339,720,6560.781332,1515
2373.359052,720,6578.520783,1482
2681.84179,720,6596.526065,1864
3094.181076,720,6615.396226,2056
1294.281085,720,6632.220171,888
3072.344583,720,6652.038815,1843
1874.059527,720,6669.683847,1184
2906.702913,720,6690.311272,2397
1829.008676,720,6706.784958,972
2992.947416,720,6726.774611,1705
2993.624858,720,6748.042689,2032
1204.375916,720,6764.816737,888
2395.734918,720,6782.419124,1494
2777.206597,720,6799.806162,1697
1180.378669,720,6816.099911,882
1267.940502,720,6832.527616,887
2144.357943,720,6847.94594,1189
2278.520198,720,6866.17133,1518
1821.540924,720,6883.815432,968
1249.405382,720,6900.336572,786
1250.749501,720,6916.885472,883
1827.293392,720,6933.79072,970
2617.15017,720,6954.107179,1950
1829.65044,720,6971.204785,973
1989.027783,720,6987.901567,1289
1488.525194,720,7003.275278,822
1233.106682,720,7018.952613,671
2792.513822,720,7037.871984,1660
1898.217947,720,7055.277868,1287
2506.596379,720,7075.54019,1862
3295.271153,720,7092.990584,2076
3245.296954,720,7113.254052,2034
2956.276123,720,7130.796666,1781
3233.405345,720,7151.818199,2402
1837.26556,720,7170.710993,1175
2438.956599,720,7190.181353,1466
2034.198936,720,7207.426409,1287
3147.218035,720,7227.313137,2057
3480.296493,720,7246.438463,2301
2943.939064,720,7263.050435,1709
3195.747961,720,7281.861354,2054
2478.844033,720,7297.933333,1493
2294.300581,720,7314.936144,1522
2692.443045,720,7332.977973,1654
2146.228576,720,7350.475534,1518
2440.567228,720,7368.635171,1492
2935.035058,720,7385.421548,1695
2710.906454,720,7405.227748,1658
3097.670908,720,7424.49529,2064
2661.370137,720,7444.259561,2079
2368.658374,720,7462.317209,1498
1513.912732,720,7477.837278,824
2064.993494,720,7494.921199,1284
2577.803105,720,7513.928552,1947
3138.683615,720,7531.926548,2027
3816.781375,720,7551.767224,2467
1233.124805,720,7567.882584,784
1191.301135,720,7585.182746,668
3094.691804,720,7605.97492,2386
2449.765089,720,7621.330125,1495
3399.233316,720,7639.22574,2300
3142.281558,720,7658.916068,2291
1211.486473,720,7673.866942,665
2181.062994,720,7691.158862,1191
2829.481357,720,7711.854854,1859
3034.624138,720,7730.276617,2007
2301.346754,720,7748.241032,1516
1836.30152,720,7764.530176,971
2395.187693,720,7782.244098,1524
2453.571206,720,7801.118519,1464
1257.879359,720,7816.693946,670
2467.909953,720,7835.122811,1483
1506.850648,720,7849.598832,825
2458.285813,720,7867.918799,1518
1495.675178,720,7883.895094,825
2439.611982,720,7901.439341,1498
1264.195349,720,7918.538222,885
3112.816291,720,7940.078598,2062
1495.405185,720,7958.423384,819
3247.533287,720,7975.690243,2057
2688.723249,720,7995.098028,1945
2337.692085,720,8011.851137,1521
2526.500036,720,8030.157057,1683
3553.682285,720,8051.289547,2405
2998.172995,720,8071.08791,1712
2375.08032,720,8087.960045,1477
2948.094256,720,8106.088021,1856
3010.301686,720,8125.561755,1785
3261.319262,720,8146.794908,2307
2249.968929,720,8163.720547,1522
2368.806611,720,8181.510036,1495
2272.853806,720,8198.820493,1515
1835.111457,720,8213.211375,973
2363.08094,720,8230.1369,1497
1242.914955,720,8244.964306,782
2297.920282,720,8261.55528,1519
2039.606382,720,8279.712711,1289
1249.338882,720,8295.900466,783
2769.943189,720,8314.053686,1695
1828.214318,720,8330.617768,973
2468.748081,720,8348.287979,1496
2475.807284,720,8364.459753,1496
2903.341308,720,8394.750973,2015
2357.609392,720,8411.556137,1519
2614.243676,720,8429.306413,1696
3200.178496,720,8447.406759,1855
2262.459538,720,8464.124566,1519
2397.930491,720,8481.67136,1488
1238.559123,720,8498.664556,671
2469.657099,720,8516.629161,1502
1921.868065,720,8534.372313,1174
2723.271169,720,8553.338928,1659
2175.184601,720,8567.874221,1190
2493.503961,720,8583.352561,1497
2125.164803,720,8600.44309,1291
1921.901247,720,8619.408909,1186
3657.907487,720,8639.213915,2454
2503.124733,720,8658.131332,1492
2362.640835,720,8676.992698,1516
1174.103574,720,8694.88156,783
2369.502199,720,8710.984138,1520
1999.749411,720,8726.659344,1288
2644.549377,720,8746.545291,1692
1233.539408,720,8762.990359,786
3233.527748,720,8784.634536,2064
1197.627601,720,8800.498913,671
2570.120379,720,8819.612527,1679
2456.739541,720,8838.450178,1678
2385.328881,720,8855.128613,1523
2649.704337,720,8877.404871,2071
3337.731207,720,8897.289366,2074
2051.867424,720,8913.948567,1287
1152.314139,720,8929.670494,669
3068.008533,720,8948.035586,1843
2009.791836,720,8965.57119,1291
2733.533564,720,8984.558535,1681
1866.235472,720,9002.728463,1179
1808.685041,720,9018.786021,972
2458.362641,720,9036.524478,1496
3107.484533,720,9054.02297,2028
3023.728435,720,9073.13144,2053
1336.670262,720,9089.07583,885
2504.767067,720,9107.073405,1488
2326.94707,720,9123.72865,1512
2992.471646,720,9141.824413,1786
2549.3293,720,9159.584754,1499
1197.026436,720,9176.403037,670
3026.799478,720,9194.960042,1849
3615.000932,720,9215.361032,2448
3678.931972,720,9234.626011,2306
1516.941708,720,9250.143499,821
2882.879448,720,9268.991067,1705
3143.908776,720,9287.336585,2073
2400.026116,720,9303.101822,1517
1525.559712,720,9318.11308,825
2066.53511,720,9333.96102,1289
3075.647297,720,9350.982431,1789
2458.520089,720,9366.222279,1497
1264.544405,720,9383.202543,670
1209.819403,720,9399.684374,781
1794.73736,720,9416.372764,973
3206.278689,720,9434.45456,2063
3680.29126,720,9452.873964,2307
3521.723254,720,9471.296728,2401
2884.924664,720,9491.315009,2061
1246.028089,720,9507.600086,670
2370.706903,720,9523.075749,1519
3206.390088,720,9542.008758,2072
2493.902404,720,9558.992765,1494
1827.384147,720,9576.665946,972
2112.171367,720,9595.226133,1278
2327.327096,720,9610.768646,1514
3704.422323,720,9629.472528,2315
2881.648398,720,9647.704965,1777
1209.684325,720,9665.238317,782
1507.639654,720,9679.911094,823
2971.935983,720,9699.141798,1852
2538.013375,720,9716.172328,1496
2690.481757,720,9734.23106,1702
1939.949257,720,9753.265574,1185
3668.685636,720,9771.246743,2307
1270.245267,720,9788.566862,671
3047.549624,720,9808.656291,2061
3169.373232,720,9828.596262,2047
2872.225687,720,9847.278133,1844
3199.224738,720,9867.166721,2055
2471.96685,720,9886.879388,1674
2695.670644,720,9905.255605,1867
3845.324345,720,9926.740439,2463
3329.079531,720,9945.815451,1996
2081.339332,720,9964.194169,1289
3122.198568,720,9982.419562,1856
2124.560422,720,9997.554296,1190
2822.664361,720,10016.657491,2071
1821.866267,720,10032.037688,971
2060.492945,720,10048.218173,1289
3304.106943,720,10068.121056,1987
2514.778941,720,10085.305588,1483
1805.489394,720,10101.127228,973
2424.181215,720,10118.995313,1467
2435.967554,720,10135.069153,1494
3497.396862,720,10155.637032,2410
1491.659675,720,10170.91182,822
2055.68184,720,10189.994184,1468
3651.928221,720,10216.546422,2398
2467.560287,720,10237.523304,1499
3118.748572,720,10257.52668,1850
2835.167002,720,10278.394505,2021
2700.069139,720,10298.791955,1694
1824.640955,720,10315.844794,972
1355.568555,720,10333.112516,881
2131.836741,720,10350.303023,1189
3240.143636,720,10370.497977,2035
2183.996939,720,10388.289353,1291
2910.030141,720,10408.04575,1693
2312.007745,720,10425.973918,1521
3089.043399,720,10446.681373,2061
2504.971925,720,10464.93593,1499
1457.378988,720,10483.373721,824
2508.259565,720,10501.670223,1497
2946.80835,720,10521.238454,1705
2131.196122,720,10538.6206,1291
1236.100313,720,10555.618552,787
1190.551057,720,10572.826188,782
3574.553324,720,10593.681512,2298
3233.01973,720,10614.096571,2031
1862.502791,720,10633.750461,1180
3704.43566,720,10655.104114,2454
2547.211411,720,10675.633068,1697
2203.905342,720,10693.916961,1520
2011.926197,720,10712.040033,1490
3197.610359,720,10731.775735,1851
1397.50758,720,10748.625264,822
2714.370951,720,10768.393581,1650
1171.243908,720,10786.03705,784
2728.626418,720,10805.733867,1658
2509.77349,720,10823.24542,1493
3059.678832,720,10845.047868,2059
3031.704875,720,10864.982923,1780
1445.908808,720,10881.86505,824
3022.938678,720,10901.64349,1787
2075.309175,720,10918.994359,1287
1313.950922,720,10936.134515,886
2963.584492,720,10955.5528,1702
3073.595083,720,10976.398438,2079
3012.670452,720,10996.130154,1785
2383.77345,720,11014.052528,1525
3035.38843,720,11034.547436,2026
1309.114138,720,11051.965289,887
1998.405493,720,11069.486779,1286
2955.521598,720,11089.0357,1706
2199.124269,720,11105.985851,1192
2635.975467,720,11125.676886,1646
2364.40418,720,11143.061621,1520
1254.228787,720,11159.867551,671
2379.942904,720,11177.486698,1492
2739.210464,720,11197.145148,1654
1481.673804,720,11213.87833,824
1232.866603,720,11231.003963,784
1270.642694,720,11247.797049,670
2866.898701,720,11268.818774,2078
2091.108017,720,11286.335616,1288
1806.204097,720,11303.09231,973
3852.0739,720,11324.189887,2460
2711.641364,720,11344.929477,1950
2346.737626,720,11364.797282,1488
2563.039815,720,11383.256962,1493
3282.544237,720,11404.522475,2076
1513.971211,720,11421.385561,823
2090.600489,720,11438.961864,1287
2967.357033,720,11459.726171,2083
1821.43176,720,11476.555135,972
1819.433422,720,11493.518187,973
1526.066364,720,11510.326306,825
2704.409477,720,11530.275075,1654
2095.197668,720,11548.824785,1288
1802.429713,720,11566.23835,973
1814.748045,720,11585.575914,1173
1827.140399,720,11602.351892,973
2491.829247,720,11619.787229,1495
2686.607047,720,11639.704119,1695
2408.314249,720,11657.228206,1521
3188.67119,720,11677.817959,2068
3453.231766,720,11699.292763,2411
2150.571788,720,11716.385478,1190
2630.031047,720,11736.703635,1695
2461.216399,720,11754.305152,1488
2194.665063,720,11771.524722,1193
3558.585013,720,11793.330846,2410
3837.63221,720,11814.368944,2463
3623.723726,720,11835.724856,2409
1204.057144,720,11852.993303,783
2510.090506,720,11873.991537,1684
2750.278282,720,11894.790304,1941
2741.937407,720,11915.564948,1877
2115.576479,720,11933.058684,1291
2758.609728,720,11953.629362,1871
3792.741053,720,11974.205324,2302
1118.330469,720,11991.602296,883
2828.68817,720,12011.974253,1866
2541.886003,720,12032.180885,1694
2450.616461,720,12049.707591,1488
1837.315136,720,12066.418562,972
1527.375264,720,12083.185548,825
3029.82295,720,12102.955896,1832
3661.573712,720,12124.275541,2412
2068.08833,720,12141.796728,1292
2499.423875,720,12159.371289,1494
2550.414249,720,12176.941514,1495
2565.879466,720,12194.408102,1493
2553.256081,720,12212.058271,1498
3095.005724,720,12232.859913,2084
2952.178758,720,12252.787407,1849
1240.870741,720,12269.595946,671
2062.859865,720,12288.383419,1286
1828.901736,720,12305.821927,973
3367.768528,720,12326.226391,2064
2678.939568,720,12346.713435,1859
1997.206571,720,12364.327879,1286
2107.438687,720,12381.508805,1193
2286.421997,720,12401.447357,1465
2871.133362,720,12422.110564,2025
1822.989767,720,12439.304647,973
1252.312681,720,12456.478822,785
2523.6485,720,12473.846618,1491
3633.040684,720,12494.881572,2297
2098.343924,720,12512.48702,1287
2999.68639,720,12532.40814,1848
2068.133483,720,12549.843462,1282
3271.101167,720,12571.194677,2317
3538.6189,720,12592.005121,2316
1204.313144,720,12609.300847,783
2114.335853,720,12627.008424,1290
3267.890338,720,12647.624171,2075
2049.630353,720,12664.953027,1192
3642.990334,720,12685.956129,2310
2498.251885,720,12706.275851,1689
2032.166781,720,12723.849192,1285
1188.563888,720,12741.118378,784
2055.979218,720,12758.388343,1190
1125.783364,720,12775.460072,671
3282.603752,720,12795.864246,2057
3813.016667,720,12817.316586,2456
2527.662217,720,12834.937906,1500
927.73458,720,12853.045192,883
2478.716673,720,12870.613515,1490
3724.085693,720,12891.825581,2448
2929.578577,720,12911.846762,1782
3261.298928,720,12932.454591,2067
2635.172028,720,12952.605484,1696
2521.808968,720,12970.06016,1496
2391.093552,720,12990.015463,1486
1974.970716,720,13007.340779,1191
3241.057846,720,13027.81851,2061
3287.369311,720,13048.360649,2061
2504.844773,720,13065.875634,1496
2099.915855,720,13083.457453,1285
1944.368089,720,13100.834744,1189
3072.586834,720,13121.142098,2015
2422.802996,720,13140.874239,1489
