#{"t_start": 1787032373.4694881, "env_id": "None"}
r,l,t,cleared_count
3014.121732,720,10756.296444,2195
1783.271211,720,10773.452388,1079
2374.158261,720,10795.926724,1414
2789.567465,720,10815.366479,1769
2092.374002,720,10834.336661,1382
1372.96818,720,10850.403766,748
1182.952497,720,10868.0944,908
2093.161592,720,10884.805227,1132
2851.626769,720,10904.037221,1772
1787.182648,720,10923.729837,1198
1994.559466,720,10949.826997,1113
1753.456513,720,10973.193945,1091
2876.132812,720,10996.61687,1806
1856.172146,720,11014.029416,1077
1150.170037,720,11032.389379,659
1817.998393,720,11048.204949,1077
1978.078849,720,11070.296744,1112
1801.106204,720,11090.7404,1226
1212.985477,720,11109.897727,787
1176.171963,720,11125.14062,788
2944.441852,720,11143.57176,1891
2620.398522,720,11162.417081,1761
1078.257581,720,11187.297087,630
2995.591667,720,11209.857438,1738
2074.128907,720,11229.011976,1373
1819.805286,720,11244.662446,1095
1811.146153,720,11260.528343,1096
2423.510658,720,11278.539967,1409
1120.187548,720,11294.479863,660
2532.394417,720,11312.504758,1460
1238.674486,720,11328.588291,787
2397.632415,720,11347.096649,1448
1765.175889,720,11370.751121,1079
2446.555017,720,11404.572992,2280
3098.41766,720,11430.224228,1812
1128.231376,720,11452.992491,661
3165.875289,720,11491.295556,1805
1952.190192,720,11512.286037,1209
1244.394397,720,11531.743648,901
2029.235406,720,11557.132364,1116
2241.957917,720,11586.843214,1947
3068.879756,720,11609.475607,1807
1775.26656,720,11625.899456,1097
2720.258031,720,11651.539291,1773
1280.252696,720,11669.218647,904
1880.36567,720,11694.824708,1230
1986.340455,720,11718.931755,1115
2077.715706,720,11736.64709,1132
2408.959495,720,11758.021428,1451
1754.636832,720,11779.833472,1097
1130.824209,720,11801.949313,598
1792.505978,720,11824.02218,1078
2318.12442,720,11846.206832,1457
1166.909142,720,11865.47005,661
1205.54109,720,11885.632024,785
1130.286532,720,11905.453522,598
2437.821936,720,11930.04675,1965
1982.80334,720,11947.176727,1210
1390.506867,720,11962.286839,748
2968.17333,720,11979.694672,1730
2060.812258,720,11998.566329,1966
1532.163431,720,12014.754676,935
1749.787789,720,12029.735064,1078
2702.088923,720,12048.3484,1801
1153.064391,720,12062.761122,659
1870.710749,720,12078.415231,1197
2548.057144,720,12097.76644,1948
1347.948766,720,12112.871374,746
1369.931224,720,12128.424785,747
1164.60768,720,12144.590017,661
2395.144882,720,12161.298286,1461
1940.5365,720,12176.786252,1212
1384.530031,720,12191.720381,748
1026.555904,720,12209.711748,630
1375.679018,720,12225.458354,747
1752.022164,720,12242.947352,1079
2178.259613,720,12262.357209,1375
1831.858239,720,12279.354282,1096
2755.433049,720,12298.807819,1794
3104.757606,720,12318.785996,2219
2085.618138,720,12333.552093,1133
2147.627163,720,12350.228862,1388
1708.258,720,12365.116318,1080
2079.380776,720,12380.0282,1131
3144.522108,720,12398.272653,2204
2992.212258,720,12417.019322,1733
3248.992029,720,12435.888623,2208
1246.328214,720,12451.879329,789
2190.905757,720,12470.261772,1380
2638.17409,720,12489.823562,2004
2355.586842,720,12507.990891,1897
1943.007803,720,12522.347407,1197
2774.068698,720,12540.751814,1900
3050.924347,720,12559.795225,1888
1339.578903,720,12575.671716,909
2563.687146,720,12594.397524,1899
1923.951944,720,12612.143049,1385
1812.377138,720,12628.046196,1081
1355.437389,720,12641.870888,748
