#{"t_start": 1786077211.5311282, "env_id": "None"}
r,l,t
-3.4,144,583.952031
-3.8,144,585.409518
-4.6,144,586.692066
-3.0,144,587.48247
-1.8,144,588.4346
-2.6,144,589.420953
-3.4,144,591.372832
-2.0,144,592.165159
-2.8,144,593.199172
-2.0,144,594.249371
-2.8,144,595.124177
-3.0,144,596.082892
-3.0,144,597.376412
-2.8,144,598.687844
-4.0,144,599.514678
-2.4,144,601.018208
-2.6,144,602.031087
-2.8,144,602.847208
-3.0,144,603.733781
-2.6,144,604.760043
-3.0,144,605.748664
-2.8,144,606.685394
-2.0,144,607.530385
-1.6,144,608.61812
-3.0,144,609.349122
-2.8,144,610.447084
-3.0,144,611.266071
-2.6,144,612.019547
-3.6,144,612.774318
-2.4,144,613.649366
-3.4,144,614.757025
-2.8,144,615.622974
-3.4,144,616.379225
-2.6,144,617.213782
-3.2,144,618.455797
-2.2,144,619.272226
-3.4,144,620.1016
-3.4,144,620.948527
-3.4,144,621.650489
-1.4,144,622.462083
-2.2,144,623.259423
-2.8,144,624.264353
-2.6,144,625.065129
-2.4,144,625.91432
-3.6,144,626.708253
-2.8,144,627.455273
-4.0,144,628.061103
-2.2,144,628.826841
-2.6,144,629.758651
-3.8,144,630.412402
-2.8,144,631.233704
-2.0,144,632.013455
-2.8,144,632.76472
-4.2,144,633.376092
-3.4,144,634.159054
-1.4,144,634.95409
-2.2,144,635.660022
-3.2,144,636.303383
-3.6,144,637.069969
-3.2,144,637.80911
-2.2,144,638.414155
-2.0,144,639.176916
-2.8,144,639.940636
-2.4,144,640.702206
-2.4,144,641.320464
-2.6,144,642.09641
-2.4,144,642.854134
-3.8,144,643.458978
-2.0,144,644.227996
-2.8,144,644.992528
-3.4,144,645.770706
-3.8,144,646.382277
-3.2,144,647.142256
-2.4,144,647.910802
-2.2,144,648.5269
-2.4,144,649.37206
-3.6,144,650.178155
-2.4,144,650.988364
-2.6,144,651.589308
-1.8,144,652.371969
-2.6,144,653.143589
-2.2,144,653.777837
-2.4,144,654.485903
-1.4,144,655.261815
-0.8,144,656.047638
-1.8,144,656.681464
-2.8,144,657.432979
-4.0,144,658.184049
-2.6,144,658.914493
-3.0,144,659.569281
-4.4,144,660.358958
-1.8,144,661.154291
-4.4,144,661.764436
-1.4,144,662.538803
-3.2,144,663.31686
-1.4,144,664.071648
-2.4,144,664.70445
-2.6,144,665.485018
-3.4,144,666.240763
-3.2,144,666.848783
-1.8,144,667.70529
-1.6,144,668.494141
-1.6,144,669.326908
-2.0,144,670.010104
-2.6,144,670.954916
-2.8,144,671.730232
-2.2,144,672.391019
-2.8,144,673.057916
-2.8,144,673.904691
-3.6,144,674.794881
-2.6,144,675.447031
-2.8,144,676.535721
-2.6,144,677.519123
-2.4,144,678.209416
-2.4,144,678.862575
-2.4,144,679.638595
-2.4,144,680.442085
-2.4,144,681.073319
-1.2,144,681.862658
-3.0,144,682.666664
-2.0,144,683.403631
-1.2,144,684.026753
-2.0,144,684.788917
-2.8,144,685.566069
-1.6,144,686.190856
-2.4,144,686.989935
-2.0,144,687.746528
-3.0,144,688.508104
-3.0,144,689.129656
-3.0,144,689.892468
-2.8,144,690.682933
-1.4,144,691.387835
-3.0,144,692.060224
-1.8,144,692.84279
-1.8,144,693.626788
-2.4,144,694.267548
-1.6,144,695.065525
-1.6,144,695.84361
-2.2,144,696.517775
-1.0,144,697.193127
-1.4,144,698.001953
-3.0,144,698.766389
-1.6,144,699.380642
-1.0,144,700.16603
-3.4,144,700.937309
-0.8,144,701.707189
-2.4,144,702.351508
-1.8,144,703.163296
-2.0,144,703.951976
-2.2,144,704.643748
-1.8,144,705.436038
-2.0,144,706.205535
-2.4,144,706.970152
-2.2,144,707.620116
-2.4,144,708.394642
-1.4,144,709.214005
-1.6,144,709.935619
-2.4,144,710.676913
-2.4,144,711.476986
-0.8,144,712.274627
-2.8,144,712.912934
-1.2,144,713.699657
-3.4,144,714.48289
-1.6,144,715.215068
-2.6,144,715.975707
-2.2,144,716.903398
-1.6,144,717.941802
-1.4,144,718.817414
-1.2,144,719.714447
-2.0,144,720.539042
-2.4,144,721.311927
-2.4,144,721.937083
-1.2,144,722.721957
-1.6,144,723.553148
-1.0,144,724.193131
-2.2,144,724.977413
-1.2,144,725.753767
-2.0,144,726.574686
-2.2,144,727.192855
-1.4,144,727.961404
-1.0,144,728.754574
-2.0,144,729.57112
-2.4,144,730.287255
-1.2,144,731.057883
-1.4,144,731.815797
-1.8,144,732.475769
-2.8,144,733.232965
-1.4,144,734.286797
-1.2,144,735.028738
-1.8,144,735.679575
-1.4,144,736.54162
-2.0,144,737.341983
-1.4,144,737.96585
-1.8,144,738.747336
-0.6,144,739.595926
-0.6,144,740.41222
-2.0,144,741.050471
-2.2,144,741.810513
-0.4,144,742.591067
-1.6,144,743.223872
-2.6,144,743.984913
-1.4,144,744.764829
-1.6,144,745.561502
-1.6,144,746.225585
-1.2,144,746.99314
-1.8,144,747.775683
-1.2,144,748.470287
-1.2,144,749.134473
-1.4,144,749.952291
-2.0,144,750.762224
-2.0,144,751.417932
-2.4,144,752.189244
-1.2,144,753.010789
-1.0,144,753.719934
-1.6,144,754.386127
-3.0,144,755.182756
-1.4,144,756.012888
-1.0,144,756.6477
-2.2,144,757.433053
-1.4,144,758.277997
-1.4,144,759.056293
-1.2,144,759.689352
-2.4,144,760.502431
-1.4,144,761.294145
-0.8,144,761.926695
-1.2,144,762.697007
-0.8,144,763.454725
-1.6,144,764.222349
-1.8,144,764.850318
-0.8,144,765.662175
-1.2,144,766.452395
-0.6,144,767.130223
-0.6,144,767.96831
-1.4,144,768.833726
-1.6,144,769.621576
-1.8,144,770.312553
-2.2,144,771.18836
-1.0,144,772.000915
-1.2,144,772.704519
-0.6,144,773.883892
